url,type,purpose,area,bedroom,bath,added,price,location,location_city,source
https://www.olx.com.pk/item/central-one-dha-lahore-2-kanal-is-available-for-sale-main-airport-road-dha-phase-8-lahore-iid-1118756049,Other,For Sale,40 Marla,,,16 hours ago,Rs 20 Crore,"DHA Phase 8, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-beautiful-ultra-modern-house-for-sale-in-central-park-housing-society-lahore-iid-1118230285,House,For Sale,5 Marla,5,5,6 days ago,Rs 2.60 Crore,"Central Park Housing Scheme, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-house-double-storey-brand-new-for-sale-iid-1118432932,House,For Sale,5 Marla,4,5,3 days ago,Rs 2.50 Crore,"Bismillah Housing Scheme, Lahore",Lahore,OLX
https://www.olx.com.pk/item/shop-available-for-sale-in-valencia-tower-paradise-floor-second-floor-iid-1118788508,Shop,For Sale,94 SQFT,,,1 hour ago,Rs 7.50 Lac,"Valencia Town, Lahore",Lahore,OLX
https://www.olx.com.pk/item/2-bed-luxury-apartment-for-sale-in-dha-phase-8-air-avenue-lahore-ideal-for-investment-rental-income-iid-1118788506,Apartment,For Sale,5 Marla,2,2,1 hour ago,Rs 1.75 Crore,"DHA Phase 8 - Ex Air Avenue, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-r-2950-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788349,Residential Plot,For Sale,5 Marla,,,2 hours ago,Rs 1.12 Crore,"DHA Phase 9 Prism - Block R, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-k-1165-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788346,Residential Plot,For Sale,5 Marla,,,2 hours ago,Rs 95 Lacs,"DHA Phase 9 Prism - Block K, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-z2-1625-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788343,Residential Plot,For Sale,1 Kanal,,,2 hours ago,Rs 2.35 Crore,"DHA Phase 7 - Block Z2, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-w-567-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788342,Residential Plot,For Sale,1 Kanal,,,2 hours ago,Rs 5.20 Crore,"DHA Phase 7 - Block W, Lahore",Lahore,OLX
https://www.olx.com.pk/item/10-marla-commercial-building-for-sale-defence-raya-fairways-location-defence-raya-fairways-dha-phase-6-lahore-iid-1118788316,Building,For Sale,10 Marla,,,2 hours ago,Rs 47 Crore,"Defence Raya, Lahore",Lahore,OLX
