Bedroom,Bath,Area_sqft,Log_area_sqft,Area_per_bedroom,Bath_bedroom_ratio,Location_median_ppsf,Type_target_enc,City_target_enc,Source_OLX,Price_pkr,Log_price
5.0,5.0,3267.0,8.091627412,653.4,1.0,12511.47842,17.52449479365033,17.0930370689899,0,50000000,17.72753356
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,20202.0202,17.52449479365033,17.30474131619205,0,23500000,16.97251098
0.0,0.0,1080.0,6.98471632,1080.0,0.0,22000.0,16.89827182589474,17.38481072169611,1,10000000,16.11809565
0.0,5.0,2722.5,7.909305855,2722.5,0.0,13590.44995,17.52449479365033,17.48107115846154,1,31500000,17.2654981
3.0,3.0,1824.075,7.508828288,608.025,1.0,19283.74656,17.52449479365033,17.63082525563043,0,52000000,17.76675428
6.0,7.0,16335.0,9.701065324,2722.5,1.166666667,14954.74223,18.00816093799353,17.2241481738,0,165000000,18.92145603
4.0,4.0,2250.0,7.718685495,562.5,1.0,23875.11478,18.00816093799353,17.38481072169611,0,95000000,18.36938745
6.0,6.0,5445.0,8.602453035,907.5,1.0,21120.29385,17.52449479365033,17.63082525563043,0,100000000,18.42068074
0.0,0.0,1361.25,7.216158674,1361.25,0.0,15861.09024,16.89827182589474,17.48107115846154,1,4500000,15.31958795
2.0,2.0,1225.125,7.110798159,612.5625,1.0,9182.736455,17.52449479365033,17.2241481738,0,7500000,15.83041358
3.0,3.0,1361.25,7.216158674,453.75,1.0,12511.47842,17.52449479365033,17.0930370689899,0,12500000,16.3412392
4.0,5.0,1905.75,7.552630911,476.4375,1.25,13314.96786,17.52449479365033,17.0930370689899,0,30000000,17.21670794
3.5,5.0,200.0,5.298317367,57.14285714,1.428571429,19283.74656,15.6743339095,17.63082525563043,1,5000000,15.42494847
0.0,0.0,5445.0,8.602453035,5445.0,0.0,15861.09024,16.89827182589474,17.48107115846154,1,43400000,17.58597
5.0,6.0,5445.0,8.602453035,1089.0,1.2,10101.0101,17.52449479365033,17.0930370689899,0,52000000,17.76675428
5.0,6.0,2722.5,7.909305855,544.5,1.2,13957.75941,17.52449479365033,17.2241481738,0,36000000,17.3990295
0.0,0.0,2178.0,7.686162303,2178.0,0.0,19283.74656,16.7407250003125,17.63082525563043,1,4200000,15.25059508
2.0,2.0,1650.0,7.408530567,825.0,1.0,6840.530141,16.74009781756667,17.63082525563043,1,12500000,16.3412392
5.0,5.0,1089.0,6.993015123,217.8,1.0,1414.141414,17.52449479365033,17.48107115846154,1,9450000,16.0615253
5.0,5.0,1905.75,7.552630911,381.15,1.0,20202.0202,17.52449479365033,17.30474131619205,0,35000000,17.37085862
0.0,0.0,5445.0,8.602453035,5445.0,0.0,15861.09024,16.89827182589474,17.48107115846154,1,45000000,17.62217305
5.0,6.0,16335.0,9.701065324,3267.0,1.2,6555.555556,17.21200745916667,17.63082525563043,1,45000000,17.62217305
6.0,6.0,5445.0,8.602453035,907.5,1.0,21120.29385,17.52449479365033,17.63082525563043,0,89500000,18.30974918
